Company Name,Time Period,Stock Price,Percentage Return,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Other Expenses,Other Income,Interest,Tax,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS Before Extra Ordinary,Diluted EPS Before Extra Ordinary,Basic EPS After Extra Ordinary,Diluted EPS After Extra Ordinary,Crude Oil Price,GDP
Tata Motors Limited,Mar '14,35.41,0.1497,"8,545.49","5,018.20",713.01,539.29,"1,947.25",148.24,322.56,-600.32,-816.61,643.78,-2.54,-2.54,-2.54,-2.54,105.9,2377153.849
Tata Motors Limited,Jun '14,39.06,0.1031,"7,704.76","5,105.01",739.55,540.82,"1,814.10","1,597.19",339.8,,393.65,643.78,1.22,1.22,1.22,1.22,105.75,2379355.815
Tata Motors Limited,Sep '14,43.71,0.119,"8,749.62","5,297.36",751,613.47,"1,943.91",142.71,344.82,738.26,"-1,845.63",643.78,-5.73,-5.73,-5.73,-5.73,87.12,2457010.248
Tata Motors Limited,Dec '14,42.28,-0.0327,"9,056.08","5,523.45",764.71,625.6,"2,438.66",58.44,418.41,18.14,"-2,122.72",643.78,-6.6,-6.6,-6.6,-6.6,54.74,2498611.783
Tata Motors Limited,Mar '15,45.06,0.0658,"10,784.28","6,229.41",836.2,823.33,"2,358.93",83.07,470.91,7.83,"-1,164.25",643.78,-3.62,-3.62,-3.62,-3.62,59.36,2560191
Tata Motors Limited,Jun '15,34.47,-0.235,"10,400.35","5,724.51",808.25,580.3,"3,014.24",907.15,434.98,42.16,289.84,679.18,0.86,0.86,0.86,0.86,55.12,2578225
Tata Motors Limited,Sep '15,22.5,-0.3473,"10,693.69","6,275.54",769.49,591.96,"2,062.85",214.95,367.16,16.74,-288.79,679.18,-0.85,-0.85,-0.85,-0.85,45.09,2637004
Tata Motors Limited,Dec '15,29.47,0.3098,"10,041.79","5,670.79",824.98,590.98,"1,943.81",493.9,357.16,-2.43,-136.82,679.18,-0.4,-0.4,-0.4,-0.4,31.43,2716448
Tata Motors Limited,Mar '16,29.05,-0.0143,"12,799.68","7,326.56",785.36,565.98,"2,680.48",110.79,433.59,-61.27,397.95,679.18,1.16,1.16,1.26,1.26,40.44,2798726.369
Tata Motors Limited,Jun '16,34.67,0.1935,"10,319.55","6,783.85",898.25,712.24,"2,207.27",624.55,340.07,12.12,25.75,679.18,0.06,0.06,0.06,0.06,44.96,2791993.716
Tata Motors Limited,Sep '16,39.98,0.1532,"10,322.45","6,560.47",881.7,718.57,"1,957.38",146.02,372.77,21.84,-630.76,679.18,-1.86,-1.86,-1.86,-1.86,46.06,2835614.058
Tata Motors Limited,Dec '16,34.39,-0.1398,"10,219.85","6,647.44",845.35,728.96,"2,036.99",93.95,413.73,14.33,"-1,045.94",679.22,-3.08,-3.08,-3.08,-3.08,53.89,2901950.786
Tata Motors Limited,Mar '17,35.65,0.0366,"13,586.68","7,662.64",932.53,809.62,"2,704.73",114.32,454.52,10.93,-829.04,679.22,-2.44,-2.44,-2.44,-2.44,51.51,2938107.454
Tata Motors Limited,Jun '17,33.01,-0.0741,"9,094.34","6,050.71",888.57,674.78,"2,058.61",639.93,367.83,0.2,-467.05,679.22,-1.38,-1.38,-1.38,-1.38,48.35,2946670.048
Tata Motors Limited,Sep '17,31.27,-0.0527,"13,887.78","8,651.02",885.38,750.63,"2,085.15",141.88,444.1,29.41,-295.3,679.22,-0.87,-0.87,-0.87,-0.87,57.3,3032795.021
Tata Motors Limited,Dec '17,33.07,0.0576,"16,101.60","10,268.60",929.3,768.87,"2,229.02",91.89,501.04,16.94,183.65,679.22,0.53,0.53,0.53,0.53,64.3,3116597.991
Tata Motors Limited,Mar '18,25.7,-0.2229,"19,779.32","12,110.29","1,103.60",856.17,"3,634.74",677.02,446.43,26.21,-499.94,679.22,-1.47,-1.47,-1.47,-1.47,69.42,3147143.007
Tata Motors Limited,Jun '18,19.55,-0.2393,"16,803.11","11,582.55","1,032.92",705.15,"2,424.86","1,393.47",493.23,276.5,"1,187.65",679.22,3.48,3.48,3.48,3.48,73.28,3127552.992
Tata Motors Limited,Sep '18,15.36,-0.2143,"17,758.69","11,427.74","1,045.40",754.05,"2,952.86",343.87,443.12,41.21,109.14,679.22,0.31,0.31,0.31,0.31,74.46,3193097.227
Tata Motors Limited,Dec '18,12.18,-0.207,"16,207.67","10,449.56","1,060.11",766.83,"2,051.84",269.4,468.08,-98.7,617.62,679.22,1.8,1.8,1.8,1.8,60.53,3266006.55
Tata Motors Limited,Mar '19,12.56,0.0312,"18,561.41","10,288.92","1,134.67",872.61,"2,750.48",419.8,389.14,159.32,106.19,679.22,0.3,0.3,0.4,0.4,69.25,3287871.77
Tata Motors Limited,Jun '19,11.68,-0.0701,"13,351.91","9,401.53","1,149.34",777.05,"2,134.85",401.2,439.49,49.43,-97.1,679.22,-0.29,-0.29,-0.29,-0.29,61.78,3256509.346
Tata Motors Limited,Sep '19,8.39,-0.2817,"10,000.48","5,530.68","1,067.09",760.65,"2,204.66",361.42,497.92,11.98,"-1,281.97",679.22,-3.78,-3.78,-3.78,-3.78,61.32,3297491.819
Tata Motors Limited,Dec '19,12.77,0.5221,"10,842.91","5,697.52","1,018.27",853.46,"2,082.67",351.51,478.54,15.66,"-1,039.51",719.54,-3.01,-3.01,-3.01,-3.01,61.48,3377602.651
Maruti Suzuki India Limited,Mar '14,1971.75,0.1178,"12,101.39","8,066.32",401.01,563.69,"1,574.60",406.62,43.43,246.98,800.05,151.04,26.48,26.48,26.48,26.48,105.9,2377153.849
Maruti Suzuki India Limited,Jun '14,2439.35,0.2371,"11,369.64","7,702.09",353.51,583.64,"1,503.62",296.53,38.55,240.26,762.28,151.04,25.23,25.23,25.23,25.23,105.75,2379355.815
Maruti Suzuki India Limited,Sep '14,3062.85,0.2556,"12,303.78","8,566.99",369.82,598.85,"1,638.26",193.25,34.79,217.91,862.54,151.04,28.55,28.55,28.55,28.55,87.12,2457010.248
Maruti Suzuki India Limited,Dec '14,3329.8,0.0872,"12,575.77","7,887.46",375.02,627.84,"1,782.09",128.95,30.02,261.52,802.16,151.04,26.55,26.55,26.55,26.55,54.74,2498611.783
Maruti Suzuki India Limited,Mar '15,3697.35,0.1104,"13,624.84","8,642.12",508.2,660,"1,729.60",319.9,102.66,437.29,"1,284.24",151.04,42.51,42.51,42.51,42.51,59.36,2560191
Maruti Suzuki India Limited,Jun '15,4023.35,0.0882,"13,376.90","8,151.00",467.7,671.6,"1,727.90",206.5,19,475.1,"1,208.10",151,39.99,39.99,39.99,39.99,55.12,2578225
Maruti Suzuki India Limited,Sep '15,4685.6,0.1646,"15,699.70","9,260.10",411.2,669.4,"3,771.40",473.6,17.8,534.8,"1,497.00",151,49.56,49.56,49.56,49.56,45.09,2637004
